"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 19 23:36:40 MSK 2025","Fri Sep 19 23:36:41 MSK 2025","1487","","CheckingTheLoginButtonsTest","","CheckingTheLoginButtonsTest","testSwitchingFromRegistrationForm","Вход по кнопке из формы регистрации [2] FirefoxDriver: firefox on windows (4cdeda1a-cbcd-4915-9b65-594d65356a83)",""
"passed","Fri Sep 19 23:37:51 MSK 2025","Fri Sep 19 23:37:52 MSK 2025","1368","","TransitionsInTheConstructorTest","","TransitionsInTheConstructorTest","testTransitions","Переходы по разделам [1] ChromeDriver: chrome on windows (fb612491dac3318ca89767a2d474a682)",""
"passed","Fri Sep 19 23:37:09 MSK 2025","Fri Sep 19 23:37:12 MSK 2025","2764","","PersonalAccountTest","","PersonalAccountTest","testClickBurgerLogo","Переход по клику на лого бургера [2] FirefoxDriver: firefox on windows (d9b3f8e5-efab-404a-b476-c370afbc5794)",""
"passed","Fri Sep 19 23:37:00 MSK 2025","Fri Sep 19 23:37:02 MSK 2025","2705","","PersonalAccountTest","","PersonalAccountTest","testClickConstructor","Переход по клику на «Конструктор» [2] FirefoxDriver: firefox on windows (b74f7744-8d84-447d-abe1-3cd8e7a25883)",""
"passed","Fri Sep 19 23:36:18 MSK 2025","Fri Sep 19 23:36:20 MSK 2025","1568","","CheckingTheLoginButtonsTest","","CheckingTheLoginButtonsTest","testSwitchingFromPasswordRecoveryForm","Вход по кнопке из формы восстановления пароля [2] FirefoxDriver: firefox on windows (b6ecb601-3c90-4a86-ad68-43755d7c50c4)",""
"passed","Fri Sep 19 23:36:25 MSK 2025","Fri Sep 19 23:36:26 MSK 2025","840","","CheckingTheLoginButtonsTest","","CheckingTheLoginButtonsTest","testTheLoginToAccountButton","Вход по кнопке «Войти в аккаунт» [1] ChromeDriver: chrome on windows (1d962411241e7101b9cd4133509a364c)",""
"passed","Fri Sep 19 23:37:18 MSK 2025","Fri Sep 19 23:37:21 MSK 2025","2608","","PersonalAccountTest","","PersonalAccountTest","testTransferYourPersonalAccount","Проверка перехода в личный кабинет [2] FirefoxDriver: firefox on windows (1e178e47-aa4c-4661-909a-394392c2f5c9)",""
"passed","Fri Sep 19 23:37:24 MSK 2025","Fri Sep 19 23:37:27 MSK 2025","2297","","PersonalAccountTest","","PersonalAccountTest","testUserRegistration","Проверка перехода в личный кабинет [1] ChromeDriver: chrome on windows (5ac0ba7230cbd363b39140fc7f6aa5fb)",""
"passed","Fri Sep 19 23:36:26 MSK 2025","Fri Sep 19 23:36:27 MSK 2025","1710","","CheckingTheLoginButtonsTest","","CheckingTheLoginButtonsTest","testTheLoginToAccountButton","Вход по кнопке «Войти в аккаунт» [2] FirefoxDriver: firefox on windows (3b2c45ab-09be-4a26-985d-82078f62dc0c)",""
"passed","Fri Sep 19 23:36:32 MSK 2025","Fri Sep 19 23:36:33 MSK 2025","963","","CheckingTheLoginButtonsTest","","CheckingTheLoginButtonsTest","testPersonalAccountAccess","Вход по кнопке «Личный кабинет» [1] ChromeDriver: chrome on windows (4add225bd0dc62da143c7c8a30ede9e9)",""
"passed","Fri Sep 19 23:36:46 MSK 2025","Fri Sep 19 23:36:48 MSK 2025","2721","","LogOutOfYourAccountTest","","LogOutOfYourAccountTest","testOut","Выход из аккаунта [1] ChromeDriver: chrome on windows (7399633986cb99ef15ed159cca541e5a)",""
"passed","Fri Sep 19 23:37:43 MSK 2025","Fri Sep 19 23:37:44 MSK 2025","1394","","RegistrationTest","","RegistrationTest","testUserRegistration","Проверка регистрации пользователя в Chrome и Firefox [1] ChromeDriver: chrome on windows (933043e9c470a551a478ed406d1d5d83)",""
"passed","Fri Sep 19 23:37:52 MSK 2025","Fri Sep 19 23:37:54 MSK 2025","1869","","TransitionsInTheConstructorTest","","TransitionsInTheConstructorTest","testTransitions","Переходы по разделам [2] FirefoxDriver: firefox on windows (5803d709-a92d-4641-b13e-b4a8b6b47220)",""
"passed","Fri Sep 19 23:37:07 MSK 2025","Fri Sep 19 23:37:09 MSK 2025","2187","","PersonalAccountTest","","PersonalAccountTest","testClickBurgerLogo","Переход по клику на лого бургера [1] ChromeDriver: chrome on windows (da5e028d42c80cee3e9744099a2b0020)",""
"passed","Fri Sep 19 23:37:27 MSK 2025","Fri Sep 19 23:37:30 MSK 2025","2970","","PersonalAccountTest","","PersonalAccountTest","testUserRegistration","Проверка перехода в личный кабинет [2] FirefoxDriver: firefox on windows (296305a1-5d53-4259-bc25-bd1b9ac32779)",""
"passed","Fri Sep 19 23:36:48 MSK 2025","Fri Sep 19 23:36:52 MSK 2025","3784","","LogOutOfYourAccountTest","","LogOutOfYourAccountTest","testOut","Выход из аккаунта [2] FirefoxDriver: firefox on windows (2b883efd-31f7-4c75-abc2-8fbe4997f993)",""
"passed","Fri Sep 19 23:36:57 MSK 2025","Fri Sep 19 23:37:00 MSK 2025","2201","","PersonalAccountTest","","PersonalAccountTest","testClickConstructor","Переход по клику на «Конструктор» [1] ChromeDriver: chrome on windows (362c9983631698adbd4c382de6bb38cf)",""
